iter	Logloss
0	0.684458957
1	0.6785975666
2	0.6713382445
3	0.6641351364
4	0.6571626563
5	0.6502561907
6	0.6441441349
7	0.6380038698
8	0.6325805527
9	0.6263742575
10	0.6190242471
11	0.6143238112
12	0.6090704694
13	0.6044908188
14	0.5986130903
15	0.5920865541
16	0.5860810872
17	0.5810587562
18	0.5755343774
19	0.5719392654
20	0.5666839767
21	0.5623529955
22	0.5584022852
23	0.5534958576
24	0.5503119508
25	0.5468212589
26	0.5423265682
27	0.5384529081
28	0.5343115066
29	0.5300477712
30	0.5271987993
31	0.523846188
32	0.5204997862
33	0.518296045
34	0.5151796348
35	0.5122047244
36	0.5089372011
37	0.5065339883
38	0.5042787096
39	0.5017908976
40	0.4994355695
41	0.4969769336
42	0.4943318573
43	0.4915249021
44	0.4886261123
45	0.4855891802
46	0.4828403148
47	0.4801247539
48	0.4774255763
49	0.4748768053
50	0.4726664934
51	0.4704545081
52	0.4678763019
53	0.4659683821
54	0.4640630465
55	0.4620243358
56	0.4599018753
57	0.4575250838
58	0.4553207365
59	0.4535530169
60	0.4514367452
61	0.4498734781
62	0.4480907001
63	0.4465431124
64	0.4443281829
65	0.442388663
66	0.4405187082
67	0.4388476734
68	0.4369941766
69	0.4353554746
70	0.4335794713
71	0.4323441855
72	0.4309030467
73	0.4292026648
74	0.4274985198
75	0.4258130017
76	0.4246215891
77	0.4234834
78	0.4226181322
79	0.42125245
80	0.4200760887
81	0.4184536766
82	0.4171903312
83	0.4164774315
84	0.4148431817
85	0.4140415555
86	0.4125294864
87	0.4114760649
88	0.4104053181
89	0.4089505939
90	0.4078881106
91	0.4064302362
92	0.4054427608
93	0.4042014914
94	0.4032298226
95	0.4019133765
96	0.4009434739
97	0.3998583997
98	0.3986514555
99	0.397335085
100	0.3957442695
101	0.3943973246
102	0.393368292
103	0.3928864546
104	0.3913578615
105	0.3898894351
106	0.3885187633
107	0.3879568928
108	0.3870333283
109	0.3862409251
110	0.3852930777
111	0.3844381286
112	0.3826767162
113	0.3818636497
114	0.381297206
115	0.3804652197
116	0.3798097617
117	0.3788072185
118	0.3780951811
119	0.3769140485
120	0.375971329
121	0.3749412112
122	0.3740049371
123	0.3731801328
124	0.3725763018
125	0.3719871052
126	0.371325317
127	0.370446817
128	0.3698848262
129	0.3691413447
130	0.3683100511
131	0.3674374359
132	0.3667988962
133	0.3661957165
134	0.3649144311
135	0.3637375614
136	0.362796486
137	0.3622424021
138	0.361471385
139	0.360438846
140	0.3593575074
141	0.3583409025
142	0.3575514719
143	0.3572956194
144	0.3568440477
145	0.3562648591
146	0.3557779282
147	0.355287069
148	0.3547345194
149	0.3541426846
150	0.3532628368
151	0.35241719
152	0.3515731069
153	0.3509382793
154	0.3500023503
155	0.3487387267
156	0.3479809651
157	0.3478256898
158	0.3466553217
159	0.345932937
160	0.3453172101
161	0.3448393483
162	0.344387581
163	0.3435436719
164	0.3428898435
165	0.3425385035
166	0.3414525135
167	0.3408149851
168	0.3403492033
169	0.3395808116
170	0.3392058107
171	0.338191493
172	0.337614836
173	0.3370988631
174	0.3363407976
175	0.3357628514
176	0.3351328512
177	0.3343294749
178	0.3338204309
179	0.3333728865
180	0.3326470445
181	0.3321547823
182	0.3318210681
183	0.3311883872
184	0.3306232481
185	0.3298307601
186	0.3290049152
187	0.3283719009
188	0.3280055043
189	0.3276341304
190	0.3271377434
191	0.3265650001
192	0.3261860776
193	0.3257709869
194	0.3252692409
195	0.3249987453
196	0.3245489221
197	0.32381463
198	0.3234414616
199	0.3228396343
200	0.322177527
201	0.3217052651
202	0.3214357778
203	0.3208347275
204	0.3199341722
205	0.319318551
206	0.3182348456
207	0.3173178423
208	0.3168907022
209	0.3164765018
210	0.3159902563
211	0.3153545594
212	0.3144939835
213	0.3138538601
214	0.3131028219
215	0.3126559129
216	0.3123702626
217	0.3116899571
218	0.3113047413
219	0.3107089973
220	0.3105332562
221	0.3099966373
222	0.3093931001
223	0.3089794346
224	0.3086110247
225	0.3082210985
226	0.3074992843
227	0.3072483373
228	0.3066752894
229	0.306366486
230	0.3059255637
231	0.3057550309
232	0.3046276562
233	0.3041827521
234	0.3035027114
235	0.3028426079
236	0.3026025521
237	0.3022968125
238	0.3021393228
239	0.3017280465
240	0.3013387275
241	0.3007469471
242	0.3005554244
243	0.3004304177
244	0.2998510194
245	0.2994761532
246	0.2991917542
247	0.2988733138
248	0.2984715051
249	0.298227767
250	0.2977592566
251	0.2975425481
252	0.2972667359
253	0.296828871
254	0.2964354635
255	0.2961908233
256	0.2955099046
257	0.2948841305
258	0.294569402
259	0.2939914068
260	0.2935493628
261	0.2931786674
262	0.2928301623
263	0.2925643331
264	0.2921999134
265	0.2917161272
266	0.2914529963
267	0.2911381168
268	0.2908780657
269	0.2898054911
270	0.2893726382
271	0.2889346764
272	0.2884889464
273	0.2878565099
274	0.2876005479
275	0.2874252869
276	0.2868876822
277	0.2863313511
278	0.2858314631
279	0.2853124101
280	0.2844917283
281	0.2842089578
282	0.2836225205
283	0.2828042719
284	0.2824287559
285	0.2820891739
286	0.2819011516
287	0.2816967847
288	0.2814358583
289	0.2812203239
290	0.2810081983
291	0.2804128341
292	0.2795361592
293	0.2792335989
294	0.2788733793
295	0.2785093576
296	0.2780373986
297	0.2775217869
298	0.2772620526
299	0.2769763113
300	0.2763994041
301	0.275726745
302	0.2752096773
303	0.2748969267
304	0.2744821239
305	0.2740050311
306	0.2735573124
307	0.2732941557
308	0.2731083364
309	0.2724996111
