iter	Passed	Remaining
0	207	103594
1	209	52185
2	213	35394
3	215	26744
4	217	21545
5	219	18102
6	223	15772
7	226	13952
8	228	12482
9	234	11469
10	237	10541
11	239	9737
12	243	9125
13	246	8544
14	248	8026
15	250	7582
16	253	7191
17	256	6880
18	259	6571
19	262	6297
20	265	6047
21	267	5811
22	271	5628
23	274	5441
24	276	5250
25	280	5108
26	283	4958
27	285	4810
28	288	4687
29	291	4559
30	294	4462
31	297	4352
32	304	4313
33	307	4213
34	310	4128
35	312	4033
36	317	3966
37	323	3933
38	326	3859
39	330	3804
40	335	3755
41	340	3710
42	342	3640
43	345	3578
44	348	3520
45	350	3461
46	356	3434
47	359	3388
48	362	3333
49	364	3279
50	367	3233
51	372	3209
52	375	3167
53	378	3122
54	381	3087
55	384	3045
56	388	3023
57	391	2985
58	393	2943
59	399	2930
60	402	2895
61	404	2858
62	407	2825
63	409	2792
64	412	2758
65	414	2726
66	416	2693
67	419	2666
68	421	2635
69	427	2624
70	429	2597
71	434	2582
72	437	2558
73	439	2529
74	442	2504
75	444	2479
76	447	2456
77	449	2431
78	453	2414
79	455	2389
80	457	2365
81	461	2351
82	463	2327
83	465	2303
84	467	2282
85	470	2263
86	472	2242
87	475	2223
88	477	2205
89	486	2216
90	488	2197
91	491	2181
92	494	2164
93	497	2148
94	500	2133
95	503	2119
96	506	2104
97	509	2091
98	512	2076
99	516	2066
100	521	2059
101	523	2042
102	525	2026
103	529	2017
104	533	2008
105	538	2000
106	540	1984
107	544	1976
108	546	1961
109	550	1953
110	554	1943
111	557	1929
112	561	1923
113	565	1913
114	567	1898
115	569	1886
116	572	1874
117	575	1864
118	577	1850
119	583	1846
120	586	1835
121	588	1824
122	591	1812
123	594	1802
124	597	1793
125	600	1783
126	603	1771
127	606	1762
128	609	1753
129	611	1740
130	613	1729
131	616	1719
132	618	1707
133	620	1696
134	623	1685
135	625	1674
136	628	1664
137	631	1657
138	639	1659
139	643	1655
140	645	1644
141	648	1635
142	652	1628
143	655	1620
144	657	1610
145	660	1600
146	662	1590
147	665	1582
148	667	1572
149	671	1567
150	674	1558
151	676	1548
152	679	1541
153	686	1542
154	688	1532
155	690	1523
156	692	1513
157	697	1510
158	700	1503
159	702	1493
160	706	1486
161	708	1477
162	713	1475
163	716	1468
164	718	1459
165	724	1457
166	727	1450
167	730	1442
168	736	1443
169	739	1436
170	742	1428
171	745	1421
172	747	1413
173	750	1406
174	756	1405
175	761	1401
176	763	1394
177	766	1386
178	771	1384
179	776	1380
180	778	1372
181	783	1368
182	785	1360
183	790	1357
184	793	1350
